date,coin_symbol,coin_name,coin_rank,market_cap,total_volume,rolling_vol_30d,log_return
2023-07-13,doge,Dogecoin,9,9108608166.081766,175756580.1436906,0.0213057361983246,-0.0039539877940053
2023-07-14,doge,Dogecoin,9,9857787759.70849,777461534.1363912,0.0257102290586331,0.0806259457230171
2023-07-15,doge,Dogecoin,9,9581089176.657316,694024160.2573605,0.0260452894355332,-0.0296733584554194
2023-07-16,doge,Dogecoin,9,10098198790.971888,1146833188.211578,0.0272900980894,0.0507149170137881
2023-07-17,doge,Dogecoin,9,9746664777.731735,495347568.3969927,0.0281718779219996,-0.0334745379994636
2023-07-18,doge,Dogecoin,9,9807873281.40001,520887438.37416005,0.0281676563856856,0.0044749211312851
2023-07-19,doge,Dogecoin,9,9612362018.765154,309741946.6632424,0.0284932365633894,-0.0196959113286503
2023-07-20,doge,Dogecoin,9,9846704380.715471,499499434.3992658,0.0287057439882426,0.0225773932016508
2023-07-21,doge,Dogecoin,9,9905608011.026873,718348687.364286,0.028692215248818,0.0059712920203329
2023-07-22,doge,Dogecoin,9,10288461302.21394,948505067.1069996,0.0284060849140185,0.03851314945067
2023-07-23,doge,Dogecoin,9,9875425660.827702,445894289.2176817,0.0295423776204666,-0.0410450129402049
2023-07-24,doge,Dogecoin,9,10092704897.637169,362900957.33893913,0.0289587787344972,0.0207348182198621
2023-07-25,doge,Dogecoin,9,10425631710.592585,1862195469.957928,0.0291742107659101,0.0346909940608286
2023-07-26,doge,Dogecoin,9,11467764374.299896,1776480115.0495996,0.0334415508453556,0.0934148177901526
2023-07-27,doge,Dogecoin,9,10938851177.181372,1047480835.9747274,0.0342681929383037,-0.0473297896790931
2023-07-28,doge,Dogecoin,9,10900605739.99488,641753984.7370008,0.0343136359238709,-0.0053754498070013
2023-07-29,doge,Dogecoin,9,10857366815.716646,426550526.20228267,0.0329231858559684,-0.003104062093798
2023-07-30,doge,Dogecoin,9,11266886534.44776,571202904.5184354,0.0333552134354448,0.0370327270331216
2023-07-31,doge,Dogecoin,9,10969575181.045874,521442769.9223985,0.0331520149360611,-0.0273590693558674
2023-08-01,doge,Dogecoin,9,10935386026.079294,424603425.7923442,0.0328586008695417,-0.0020803372312707
2023-08-02,doge,Dogecoin,9,10925564512.801285,451388149.5321087,0.032791986903628,1.1769678215145518e-05
2023-08-03,doge,Dogecoin,9,10419601111.716385,437878805.3250585,0.0342036134725336,-0.048770605818488
2023-08-04,doge,Dogecoin,9,10364797280.7775,434504375.1851865,0.0342238208831453,-0.0070978461539499
2023-08-05,doge,Dogecoin,9,10314695236.89593,362395292.1018645,0.0337228781816904,-0.0023233743647472
2023-08-06,doge,Dogecoin,9,10615515707.6051,539033839.7708057,0.0335243819891885,0.0286032690354454
2023-08-07,doge,Dogecoin,9,10417875379.22538,369057587.49867415,0.0338183111646027,-0.0194235669644071
2023-08-08,doge,Dogecoin,9,10308694505.987484,398305731.048855,0.0339218806638816,-0.010496632802567
2023-08-09,doge,Dogecoin,9,10540041723.27261,374950347.816744,0.0340247263496968,0.0220474209487302
2023-08-10,doge,Dogecoin,9,10596774387.684277,369748154.4788845,0.0340007945287104,0.0049839052202007
2023-08-11,doge,Dogecoin,9,10641945541.16315,399366004.76722986,0.0339964506710865,0.0049519591590496
2023-08-12,doge,Dogecoin,9,10636295250.11106,263740989.01364213,0.0339717040524586,-0.0005997156145456
2023-08-13,doge,Dogecoin,9,10774454527.397196,385515900.69012594,0.0308864003066847,0.0128946947247805
